supplier_id:ID(Supplier),name,english_name,short_name,country,region,category,tier:int,:LABEL
pegatron,和硕联合科技股份有限公司,Pegatron Corporation,Pegatron / 和硕,Taiwan,East Asia,Assembly,1,Supplier
quanta,广达电脑股份有限公司,Quanta Computer Inc.,Quanta / 广达,Taiwan,East Asia,Assembly,1,Supplier
wistron,纬创资通股份有限公司,Wistron Corporation,Wistron / 纬创,Taiwan,East Asia,Assembly,2,Supplier
byd_e,比亚迪电子(国际)有限公司,"BYD Electronic (International) Co., Ltd.",BYD Electronic / 比亚迪电子,China,East Asia,Assembly/Enclosure,1,Supplier
catcher,可成科技股份有限公司,"Catcher Technology Co., Ltd.",Catcher / 可成科技,Taiwan,East Asia,Enclosure,1,Supplier
changying,广东长盈精密技术股份有限公司,"Guangdong Changying Precision Technology Co., Ltd.",Changying / 长盈精密,China,East Asia,Enclosure,1,Supplier
lingyi,领益智造科技股份有限公司,"Lingyi iTech (Guangdong) Co., Ltd.",Lingyi / 领益智造,China,East Asia,Enclosure/Module,1,Supplier
desay,惠州市德赛电池有限公司,"Huizhou Desay Battery Co., Ltd.",Desay / 德赛电池,China,East Asia,Battery,1,Supplier
sunwoda,欣旺达电子股份有限公司,"Sunwoda Electronic Co., Ltd.",Sunwoda / 欣旺达,China,East Asia,Battery,1,Supplier
atl,新能源科技有限公司,Amperex Technology Limited (ATL),ATL / 新能源科技,China,East Asia,Battery,1,Supplier
zhending,鹏鼎控股(深圳)股份有限公司,Zhen Ding Technology Holding Limited,ZDT / 鹏鼎控股,Taiwan/China,East Asia,FPC,1,Supplier
flexium,台郡科技股份有限公司,Flexium Interconnect Inc.,Flexium / 台郡科技,Taiwan,East Asia,FPC,1,Supplier
dongshan,东山精密制造股份有限公司,"Dongshan Precision Manufacturing Co., Ltd.",Dongshan / 东山精密,China,East Asia,FPC/Component,1,Supplier
unimicron,欣兴电子股份有限公司,Unimicron Technology Corporation,Unimicron / 欣兴电子,Taiwan,East Asia,Substrate/PCB,1,Supplier
nanya_pcb,南亚电路板股份有限公司,Nan Ya PCB Corporation,NYP / 南亚电路板,Taiwan,East Asia,Substrate/PCB,1,Supplier
ibiden,揖斐电株式会社,"Ibiden Co., Ltd.",Ibiden / 揖斐电,Japan,East Asia,Substrate,1,Supplier
shennan,深南电路股份有限公司,"Shennan Circuits Co., Ltd.",SCC / 深南电路,China,East Asia,PCB,2,Supplier
ase,日月光投资控股股份有限公司,"ASE Technology Holding Co., Ltd.",ASE / 日月光,Taiwan,East Asia,OSAT,1,Supplier
amkor,爱麦克科技股份有限公司,"Amkor Technology, Inc.",Amkor / 安靠,USA/Korea,North America,OSAT,1,Supplier
crystal,浙江水晶光电科技股份有限公司,"Zhejiang Crystal-Optech Co., Ltd.",Crystal / 水晶光电,China,East Asia,Optical,2,Supplier
lante,浙江蓝特光学股份有限公司,Lante Optics Inc.,Lante / 蓝特光学,China,East Asia,Optical,2,Supplier
gis,业成科技(深圳)有限公司,General Interface Solution (GIS) - TPK,GIS / 业成,Taiwan,East Asia,Touch/Display,2,Supplier
viseira,采钰科技股份有限公司,VisEra Technologies Company Limited,VisEra / 采钰科技,Taiwan,East Asia,CIS/Optical,2,Supplier
cowell,高伟电子控股有限公司,Cowell Technology Corporation,Cowell / 高伟电子,China,East Asia,Camera Module,2,Supplier
zhaowei,深圳市兆威机电股份有限公司,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd.",Zhaowei / 兆威机电,China,East Asia,Mech,2,Supplier
apple,苹果公司(自研),Apple Inc. (in-house),Apple / 苹果自研,USA,North America,Semiconductor,1,Supplier
ams,艾迈斯欧司朗公司,ams OSRAM AG,ams OSRAM,Austria,Europe,Sensor,2,Supplier
